IDMascota,Timestamp,Raza,Edad,HR (bpm),Actividad (steps),GPS_Lat,GPS_Lon,Temperatura,Emoción
67,2025-06-11 15:07:00,Border Collie,4,77,8,-18.12,-151.41,25.7ºC,Tristeza
68,2025-06-11 15:08:00,Dachshund,15,118,5,-62.57,83.34,24.1ºC,Miedo
69,2025-06-11 15:09:00,Border Collie,2,165,72,88.65,-112.53,25.6ºC,Miedo
70,2025-06-11 15:10:00,Cocker Spaniel,15,162,102,76.86,128.94,23.6ºC,Tristeza
71,2025-06-11 15:11:00,Maltés,8,76,159,7.19,114.86,20.4ºC,Enfadado
72,2025-06-11 15:12:00,Abyssinian,8,73,40,61.57,14.69,18.8ºC,Confusión
73,2025-06-11 15:13:00,Maltés,17,90,113,3.77,75.69,24.3ºC,Ansiedad
74,2025-06-11 15:14:00,Ragdoll,12,83,7,22.25,-66.83,23.2ºC,Confusión
75,2025-06-11 15:15:00,Boxer,19,158,71,-73.96,-10.38,18.4ºC,Tranquilo
76,2025-06-11 15:16:00,Siberiano,10,167,177,45.95,115.79,20.9ºC,Confusión
77,2025-06-11 15:17:00,Labrador,9,119,91,-67.01,-14.66,25.7ºC,Relajación
78,2025-06-11 15:18:00,Labrador,5,104,61,58.69,-51.19,22.0ºC,Tristeza
79,2025-06-11 15:19:00,Shiba Inu,6,157,83,50.77,-2.08,21.5ºC,Ansiedad
80,2025-06-11 15:20:00,Birmano,20,62,61,37.57,118.17,21.7ºC,Confusión
81,2025-06-11 15:21:00,Weimaraner,2,96,110,-83.49,-59.33,19.7ºC,Ansiedad
82,2025-06-11 15:22:00,Somalí,13,102,126,-35.44,-117.45,20.9ºC,Ansiedad
83,2025-06-11 15:23:00,Pug,6,99,6,-42.64,76.33,21.0ºC,Tranquilo
84,2025-06-11 15:24:00,Collie,5,149,83,-25.18,117.35,18.4ºC,Tranquilo
85,2025-06-11 15:25:00,Oriental,1,114,131,-74.22,-143.77,24.1ºC,Tristeza
86,2025-06-11 15:26:00,Labrador,6,146,133,78.65,-93.65,21.3ºC,Enfadado
87,2025-06-11 15:27:00,Shih Tzu,6,167,57,9.68,-128.89,24.6ºC,Relajación
88,2025-06-11 15:28:00,Cornish Rex,16,98,21,-35.01,-54.74,24.8ºC,Miedo
89,2025-06-11 15:29:00,Persa,4,74,153,-18.54,-17.87,19.7ºC,Ansiedad
90,2025-06-11 15:30:00,Gran Danés,11,179,126,-9.5,89.58,23.3ºC,Enfadado
91,2025-06-11 15:31:00,Setter Irlandés,9,172,2,18.11,54.41,21.8ºC,Miedo
92,2025-06-11 15:32:00,Bulldog,3,63,126,2.82,43.53,25.0ºC,Miedo
93,2025-06-11 15:33:00,Siberiano,19,152,40,75.49,-53.15,19.7ºC,Relajación
94,2025-06-11 15:34:00,Maltés,8,145,187,-0.55,122.92,23.4ºC,Tristeza
95,2025-06-11 15:35:00,Shih Tzu,5,84,105,88.59,-10.34,22.9ºC,Miedo
96,2025-06-11 15:36:00,Abyssinian,4,72,13,63.26,172.48,20.4ºC,Relajación
97,2025-06-11 15:37:00,Gran Danés,6,141,11,-52.47,48.29,19.1ºC,Miedo
98,2025-06-11 15:38:00,Setter Irlandés,2,92,86,77.51,-134.54,23.2ºC,Ansiedad
99,2025-06-11 15:39:00,Husky,20,75,11,-69.05,63.42,23.9ºC,Ansiedad
100,2025-06-11 15:40:00,Cocker Spaniel,11,168,140,57.14,-62.96,20.5ºC,Alerta
101,2025-06-11 15:41:00,Persa,4,101,24,-21.49,67.08,23.2ºC,Enfadado
102,2025-06-11 15:42:00,Shiba Inu,15,167,44,68.04,-154.93,21.2ºC,Confusión
103,2025-06-11 15:43:00,Australian Shepherd,6,125,121,66.25,-117.04,23.7ºC,Relajación
104,2025-06-11 15:44:00,Akita,17,114,146,55.07,128.07,19.6ºC,Tranquilo
105,2025-06-11 15:45:00,Whippet,6,158,54,52.21,-98.22,25.1ºC,Relajación
106,2025-06-11 15:46:00,Persa,19,101,99,-35.16,121.33,20.3ºC,Confusión
107,2025-06-11 15:47:00,Siberiano,2,93,172,-75.43,-79.46,20.9ºC,Enfadado
108,2025-06-11 15:48:00,Shih Tzu,15,89,135,-17.46,51.44,18.5ºC,Tranquilo
109,2025-06-11 15:49:00,Maltés,11,178,118,-58.77,69.89,18.9ºC,Confusión
110,2025-06-11 15:50:00,Maltés,8,72,52,35.09,4.56,22.1ºC,Alerta
111,2025-06-11 15:51:00,Somalí,19,72,182,-27.7,-70.09,20.1ºC,Tranquilo
112,2025-06-11 15:52:00,Yorkshire Terrier,13,77,31,85.61,-103.45,24.7ºC,Ansiedad
113,2025-06-11 15:53:00,Cornish Rex,12,91,50,25.37,-168.05,18.1ºC,Confusión
114,2025-06-11 15:54:00,Galgo,5,155,43,58.05,-70.58,21.0ºC,Relajación
115,2025-06-11 15:55:00,Scottish Fold,6,158,81,-66.15,55.14,20.7ºC,Tranquilo
116,2025-06-11 15:56:00,Akita,4,98,197,65.16,157.79,18.2ºC,Alerta
117,2025-06-11 15:57:00,Abyssinian,19,105,145,76.1,133.63,19.0ºC,Relajación
118,2025-06-11 15:58:00,Ragdoll,20,175,149,-2.33,95.78,21.3ºC,Miedo
119,2025-06-11 15:59:00,Rottweiler,1,88,36,19.13,103.84,21.9ºC,Tranquilo
120,2025-06-11 16:00:00,Persa,20,121,95,47.67,59.39,21.2ºC,Tranquilo
121,2025-06-11 16:01:00,Galgo,17,172,55,-58.53,-86.3,22.2ºC,Alerta
122,2025-06-11 16:02:00,Birmano,12,152,104,0.46,146.59,22.8ºC,Miedo
123,2025-06-11 16:03:00,Boston Terrier,15,121,58,-18.24,61.46,18.1ºC,Confusión
124,2025-06-11 16:04:00,Rottweiler,1,176,130,-63.65,21.76,21.7ºC,Tristeza
125,2025-06-11 16:05:00,Border Collie,14,167,155,-23.84,-140.04,25.7ºC,Confusión
126,2025-06-11 16:06:00,Weimaraner,6,116,34,-77.73,-19.06,22.2ºC,Miedo
127,2025-06-11 16:07:00,Labrador,5,75,188,-85.35,-14.27,23.4ºC,Enfadado
128,2025-06-11 16:08:00,Persa,11,115,92,-65.67,131.24,20.5ºC,Relajación
129,2025-06-11 16:09:00,Oriental,4,167,181,83.36,16.79,24.2ºC,Alerta
130,2025-06-11 16:10:00,Golden Retriever,13,170,190,8.92,-43.06,24.2ºC,Confusión
131,2025-06-11 16:11:00,Shih Tzu,11,69,96,83.85,171.65,22.2ºC,Tranquilo
132,2025-06-11 16:12:00,Pit Bull,3,89,134,-12.15,-140.14,25.8ºC,Alerta
133,2025-06-11 16:13:00,Shih Tzu,1,84,75,-33.87,-27.88,19.0ºC,Ansiedad
134,2025-06-11 16:14:00,Siamés,6,162,48,1.11,-164.87,18.1ºC,Miedo
135,2025-06-11 16:15:00,Australian Shepherd,18,143,93,-10.89,86.37,24.2ºC,Relajación
136,2025-06-11 16:16:00,Cocker Spaniel,10,64,158,-70.98,150.51,24.5ºC,Confusión
137,2025-06-11 16:17:00,Weimaraner,5,124,185,25.35,-79.19,19.0ºC,Alerta
138,2025-06-11 16:18:00,Doberman,10,153,188,-51.11,129.0,20.1ºC,Relajación
139,2025-06-11 16:19:00,Sphynx,12,108,23,21.53,-74.8,18.1ºC,Confusión
140,2025-06-11 16:20:00,Pit Bull,2,62,147,27.04,147.88,20.3ºC,Alerta
141,2025-06-11 16:21:00,Siberiano,13,104,36,-62.64,91.43,24.2ºC,Tranquilo
142,2025-06-11 16:22:00,Manx,8,73,3,-78.96,109.77,22.1ºC,Ansiedad
143,2025-06-11 16:23:00,Caniche,2,179,107,50.54,-173.52,20.8ºC,Ansiedad
144,2025-06-11 16:24:00,Scottish Fold,20,89,125,-7.24,166.61,21.0ºC,Enfadado
145,2025-06-11 16:25:00,Scottish Fold,1,173,19,-79.53,81.6,18.0ºC,Alerta
146,2025-06-11 16:26:00,Cavalier King Charles,5,127,187,89.08,-70.29,20.4ºC,Confusión
147,2025-06-11 16:27:00,Abyssinian,9,77,151,-79.6,118.58,23.2ºC,Ansiedad
148,2025-06-11 16:28:00,Siberiano,17,121,49,35.11,-78.65,25.8ºC,Miedo
149,2025-06-11 16:29:00,Bulldog,9,96,176,87.06,134.19,24.8ºC,Ansiedad
150,2025-06-11 16:30:00,Labrador,11,84,178,-46.95,-139.47,18.2ºC,Tristeza
151,2025-06-11 16:31:00,Scottish Fold,15,107,95,-64.4,73.33,25.2ºC,Tristeza
152,2025-06-11 16:32:00,Collie,6,124,104,-68.15,14.65,24.3ºC,Ansiedad
153,2025-06-11 16:33:00,Rottweiler,3,112,163,-35.41,-145.25,24.2ºC,Alerta
154,2025-06-11 16:34:00,Cavalier King Charles,17,169,116,-71.81,-92.92,21.7ºC,Enfadado
155,2025-06-11 16:35:00,American Shorthair,5,138,97,34.59,-175.53,21.2ºC,Ansiedad
156,2025-06-11 16:36:00,Setter Irlandés,12,132,65,-78.79,-11.24,20.4ºC,Tranquilo
157,2025-06-11 16:37:00,Pastor Alemán,18,74,78,1.7,-71.54,18.5ºC,Relajación
158,2025-06-11 16:38:00,Siberiano,14,108,161,89.41,35.41,19.8ºC,Confusión
159,2025-06-11 16:39:00,Boston Terrier,11,147,163,56.51,-72.99,20.0ºC,Enfadado
160,2025-06-11 16:40:00,Whippet,9,127,5,20.74,-72.03,21.9ºC,Tranquilo
161,2025-06-11 16:41:00,Siamés,2,71,38,-34.87,87.55,24.0ºC,Enfadado
162,2025-06-11 16:42:00,Manx,12,118,169,22.3,-162.67,21.8ºC,Tranquilo
163,2025-06-11 16:43:00,Caniche,3,96,114,4.87,145.04,18.5ºC,Confusión
164,2025-06-11 16:44:00,Ragdoll,3,120,185,-13.3,126.81,25.7ºC,Confusión
165,2025-06-11 16:45:00,Dachshund,1,160,124,-66.47,60.41,25.5ºC,Tristeza
166,2025-06-11 16:46:00,Maltés,8,102,11,69.59,33.56,24.3ºC,Alerta
167,2025-06-11 16:47:00,Poodle,8,129,130,-9.04,141.23,25.9ºC,Tranquilo
168,2025-06-11 16:48:00,Setter Irlandés,11,98,17,-54.97,-113.28,22.4ºC,Relajación
169,2025-06-11 16:49:00,Maltés,9,115,39,-23.8,-151.57,25.7ºC,Tristeza
170,2025-06-11 16:50:00,Rottweiler,5,122,20,-15.46,-93.78,18.6ºC,Tranquilo
171,2025-06-11 16:51:00,Maltés,14,105,142,58.96,106.05,20.9ºC,Tristeza
172,2025-06-11 16:52:00,Birmano,3,147,98,42.05,-167.52,19.8ºC,Confusión
173,2025-06-11 16:53:00,Terranova,5,70,25,48.47,29.81,19.6ºC,Enfadado
174,2025-06-11 16:54:00,Dálmata,5,121,7,-88.01,178.36,19.1ºC,Miedo
175,2025-06-11 16:55:00,Golden Retriever,19,136,99,-15.09,128.05,23.0ºC,Tristeza
176,2025-06-11 16:56:00,Manx,14,157,86,-3.36,7.72,24.3ºC,Tranquilo
177,2025-06-11 16:57:00,Oriental,4,84,41,-86.55,-157.09,22.6ºC,Tranquilo
178,2025-06-11 16:58:00,Bengala,13,130,171,-43.23,119.29,19.2ºC,Miedo
179,2025-06-11 16:59:00,Setter Irlandés,10,111,13,46.85,35.63,24.5ºC,Alerta
180,2025-06-11 17:00:00,Galgo,18,63,77,-65.32,-138.62,23.1ºC,Relajación
181,2025-06-11 17:01:00,Pug,8,118,1,6.36,-146.21,21.1ºC,Confusión
182,2025-06-11 17:02:00,Yorkshire Terrier,8,131,118,-51.26,147.47,23.4ºC,Tranquilo
183,2025-06-11 17:03:00,Galgo,7,79,36,-87.82,60.91,20.1ºC,Ansiedad
184,2025-06-11 17:04:00,Rottweiler,8,152,68,-46.58,118.54,20.8ºC,Enfadado
185,2025-06-11 17:05:00,Abyssinian,14,122,165,85.66,136.43,25.3ºC,Tristeza
186,2025-06-11 17:06:00,Boxer,19,113,40,54.28,25.84,20.3ºC,Alerta
187,2025-06-11 17:07:00,Pit Bull,6,176,61,82.72,6.28,21.8ºC,Relajación
188,2025-06-11 17:08:00,Caniche,1,174,59,-2.19,-25.05,25.1ºC,Miedo
189,2025-06-11 17:09:00,Australian Shepherd,15,168,124,-70.25,-65.9,23.7ºC,Enfadado
190,2025-06-11 17:10:00,Caniche,1,169,110,8.63,-23.55,18.5ºC,Confusión
191,2025-06-11 17:11:00,Somalí,17,133,13,-8.21,98.6,19.2ºC,Alerta
192,2025-06-11 17:12:00,Galgo,1,166,83,61.98,36.69,18.1ºC,Relajación
193,2025-06-11 17:13:00,British Shorthair,15,157,129,-72.35,141.31,23.0ºC,Tristeza
194,2025-06-11 17:14:00,Australian Shepherd,2,116,69,-2.12,-20.38,21.6ºC,Tristeza
195,2025-06-11 17:15:00,Cornish Rex,14,149,144,-62.99,38.55,19.1ºC,Miedo
196,2025-06-11 17:16:00,Weimaraner,8,100,122,-31.56,47.27,25.7ºC,Ansiedad
197,2025-06-11 17:17:00,Pit Bull,8,172,88,42.72,33.01,22.2ºC,Miedo
198,2025-06-11 17:18:00,Ragdoll,19,62,27,-4.32,72.95,19.9ºC,Confusión
199,2025-06-11 17:19:00,Weimaraner,7,179,65,-22.34,-94.52,22.0ºC,Alerta
200,2025-06-11 17:20:00,Abyssinian,19,65,162,-18.99,4.45,23.4ºC,Alerta
201,2025-06-11 17:21:00,Siberiano,6,64,4,-7.3,-142.48,18.6ºC,Tranquilo
202,2025-06-11 17:22:00,Australian Shepherd,6,64,192,51.3,-41.58,20.2ºC,Ansiedad
203,2025-06-11 17:23:00,Pastor Alemán,3,113,167,70.58,-4.44,24.5ºC,Ansiedad
204,2025-06-11 17:24:00,Ragdoll,7,106,183,81.96,54.8,21.7ºC,Alerta
205,2025-06-11 17:25:00,Pug,19,146,163,51.64,162.19,22.4ºC,Alerta
206,2025-06-11 17:26:00,Caniche,8,108,44,-33.23,36.23,21.5ºC,Enfadado
207,2025-06-11 17:27:00,Terranova,10,68,150,33.86,87.69,18.4ºC,Relajación
208,2025-06-11 17:28:00,Akita,20,158,46,-11.23,2.26,19.3ºC,Enfadado
209,2025-06-11 17:29:00,Dachshund,15,79,30,-44.16,48.28,21.6ºC,Enfadado
210,2025-06-11 17:30:00,Australian Shepherd,15,172,138,61.36,-154.46,19.7ºC,Ansiedad
211,2025-06-11 17:31:00,Sphynx,1,120,9,-83.08,-88.42,18.4ºC,Tranquilo
212,2025-06-11 17:32:00,Somalí,20,165,194,72.32,-49.73,24.7ºC,Tristeza
213,2025-06-11 17:33:00,Pug,7,94,117,-6.93,-9.9,25.8ºC,Enfadado
214,2025-06-11 17:34:00,Gran Danés,4,109,13,24.7,-163.57,24.3ºC,Tranquilo
215,2025-06-11 17:35:00,Pastor Alemán,6,141,79,28.68,-129.59,24.8ºC,Miedo
216,2025-06-11 17:36:00,Border Collie,1,121,92,71.12,-80.35,19.9ºC,Confusión
217,2025-06-11 17:37:00,Australian Shepherd,5,76,9,24.6,169.75,25.7ºC,Enfadado
218,2025-06-11 17:38:00,Galgo,1,147,75,20.51,-60.72,19.6ºC,Miedo
219,2025-06-11 17:39:00,Siberiano,4,62,93,-78.0,-6.47,25.6ºC,Tristeza
220,2025-06-11 17:40:00,Terranova,2,91,104,3.31,-109.4,26.0ºC,Confusión
221,2025-06-11 17:41:00,Border Collie,10,158,0,-62.97,39.88,23.7ºC,Confusión
222,2025-06-11 17:42:00,Siberiano,5,161,132,42.74,-78.95,25.8ºC,Tristeza
223,2025-06-11 17:43:00,Boxer,10,72,19,2.2,-105.48,22.6ºC,Enfadado
224,2025-06-11 17:44:00,Dálmata,1,179,7,32.44,5.97,20.1ºC,Ansiedad
225,2025-06-11 17:45:00,Cocker Spaniel,6,170,170,-82.5,-178.02,21.5ºC,Tristeza
226,2025-06-11 17:46:00,Husky,13,148,0,-74.74,-177.24,22.7ºC,Tristeza
227,2025-06-11 17:47:00,Boston Terrier,15,132,56,38.94,-101.14,18.6ºC,Tristeza
228,2025-06-11 17:48:00,Border Collie,4,127,63,-77.02,-166.78,23.0ºC,Confusión
229,2025-06-11 17:49:00,Shiba Inu,13,73,117,-77.17,-141.11,25.8ºC,Relajación
230,2025-06-11 17:50:00,Shih Tzu,20,160,27,-87.82,-58.01,19.5ºC,Tranquilo
231,2025-06-11 17:51:00,Persa,15,157,120,82.17,108.93,24.3ºC,Miedo
232,2025-06-11 17:52:00,Caniche,8,70,106,42.75,25.94,25.3ºC,Ansiedad
233,2025-06-11 17:53:00,Siberiano,5,164,164,-26.41,4.56,25.5ºC,Enfadado
234,2025-06-11 17:54:00,Pug,15,115,174,-36.62,-74.34,25.7ºC,Enfadado
235,2025-06-11 17:55:00,Yorkshire Terrier,4,126,164,-27.05,155.43,22.2ºC,Miedo
236,2025-06-11 17:56:00,Galgo,12,151,48,49.44,-37.07,25.8ºC,Tranquilo
237,2025-06-11 17:57:00,Ragdoll,13,88,119,29.05,-148.65,24.1ºC,Tristeza
238,2025-06-11 17:58:00,Shih Tzu,2,68,43,-56.66,42.14,19.3ºC,Relajación
239,2025-06-11 17:59:00,Cornish Rex,19,126,55,-58.66,-139.02,21.8ºC,Ansiedad
240,2025-06-11 18:00:00,Oriental,19,84,155,-72.29,-55.72,23.7ºC,Enfadado
241,2025-06-11 18:01:00,Bull Terrier,4,157,110,28.85,2.67,20.0ºC,Miedo
242,2025-06-11 18:02:00,Cornish Rex,4,135,133,47.59,134.72,23.1ºC,Alerta
243,2025-06-11 18:03:00,Husky,11,101,107,-42.29,-2.32,23.3ºC,Relajación
244,2025-06-11 18:04:00,Boston Terrier,5,68,188,-86.23,72.81,19.3ºC,Miedo
245,2025-06-11 18:05:00,Persa,20,138,147,-75.21,177.41,22.5ºC,Relajación
246,2025-06-11 18:06:00,Caniche,11,99,113,84.21,-132.66,24.2ºC,Enfadado
247,2025-06-11 18:07:00,Ragdoll,10,84,77,-36.82,-81.1,22.0ºC,Tristeza
248,2025-06-11 18:08:00,Setter Irlandés,8,64,129,48.46,-37.95,18.1ºC,Alerta
249,2025-06-11 18:09:00,Cavalier King Charles,6,70,36,22.44,-28.14,18.1ºC,Tranquilo
250,2025-06-11 18:10:00,Bengala,6,118,19,-21.25,-32.03,20.9ºC,Ansiedad
251,2025-06-11 18:11:00,British Shorthair,8,157,25,-52.98,146.74,25.4ºC,Tranquilo
252,2025-06-11 18:12:00,Shiba Inu,15,147,28,-68.15,77.05,19.8ºC,Tranquilo
253,2025-06-11 18:13:00,Siberiano,14,138,0,20.7,38.85,23.1ºC,Miedo
254,2025-06-11 18:14:00,Boxer,11,97,118,49.43,-68.63,19.8ºC,Relajación
255,2025-06-11 18:15:00,Rottweiler,12,131,34,25.9,116.56,20.6ºC,Ansiedad
256,2025-06-11 18:16:00,American Shorthair,13,64,197,5.45,163.82,24.8ºC,Ansiedad
257,2025-06-11 18:17:00,Dachshund,8,107,58,-82.45,115.63,23.8ºC,Enfadado
258,2025-06-11 18:18:00,Chihuahua,18,149,68,84.33,-179.44,18.8ºC,Enfadado
259,2025-06-11 18:19:00,Dálmata,1,77,160,53.77,49.1,21.4ºC,Ansiedad
260,2025-06-11 18:20:00,Whippet,15,129,178,-37.29,-161.59,18.2ºC,Alerta
261,2025-06-11 18:21:00,Pastor Alemán,8,96,11,86.39,-87.26,21.8ºC,Confusión
262,2025-06-11 18:22:00,Collie,11,119,19,18.34,-158.57,23.3ºC,Enfadado
263,2025-06-11 18:23:00,Bull Terrier,12,107,180,14.84,37.37,18.9ºC,Confusión
264,2025-06-11 18:24:00,Boxer,12,136,42,44.65,67.17,20.3ºC,Miedo
265,2025-06-11 18:25:00,Manx,4,87,125,56.12,-138.78,21.2ºC,Alerta
266,2025-06-11 18:26:00,Doberman,16,128,49,28.17,-41.82,25.4ºC,Ansiedad
267,2025-06-11 18:27:00,Siamés,4,136,28,-66.94,-15.75,25.9ºC,Alerta
268,2025-06-11 18:28:00,Persa,5,140,184,-29.11,-47.14,18.4ºC,Enfadado
269,2025-06-11 18:29:00,Setter Irlandés,5,173,38,77.06,-136.43,24.1ºC,Tranquilo
270,2025-06-11 18:30:00,Abyssinian,8,99,183,-49.57,-29.18,21.0ºC,Miedo
271,2025-06-11 18:31:00,Chihuahua,10,104,170,-23.01,90.42,21.1ºC,Ansiedad
272,2025-06-11 18:32:00,Border Collie,17,155,177,-12.23,-154.44,24.0ºC,Tristeza
273,2025-06-11 18:33:00,Poodle,9,121,150,-10.91,-151.14,25.3ºC,Miedo
274,2025-06-11 18:34:00,Somalí,19,152,171,20.33,-52.28,25.6ºC,Relajación
275,2025-06-11 18:35:00,Oriental,14,174,37,79.75,159.02,22.6ºC,Confusión
276,2025-06-11 18:36:00,Labrador,8,117,83,-46.68,60.69,20.9ºC,Alerta
277,2025-06-11 18:37:00,Gran Danés,9,126,150,-68.13,64.32,24.3ºC,Ansiedad
278,2025-06-11 18:38:00,Dachshund,11,115,127,-54.46,-49.71,20.0ºC,Miedo
279,2025-06-11 18:39:00,Dálmata,1,99,125,69.65,33.72,22.5ºC,Alerta
280,2025-06-11 18:40:00,Pug,14,157,44,26.25,-176.35,20.9ºC,Ansiedad
281,2025-06-11 18:41:00,Oriental,5,99,51,-38.54,48.99,23.3ºC,Enfadado
282,2025-06-11 18:42:00,Golden Retriever,14,150,79,56.87,148.78,19.9ºC,Miedo
