IDAudio,IDMascota,Timestamp,Frecuencia_Max (Hz),Espectrograma (path),Emoción
V066,66,2025-06-11 14:31:00,554,/spectrograms/V066.png,Jugar
V067,67,2025-06-11 14:31:30,506,/spectrograms/V067.png,Jugar
V068,68,2025-06-11 14:32:00,528,/spectrograms/V068.png,Hambre
V069,69,2025-06-11 14:32:30,365,/spectrograms/V069.png,Hambre
V070,70,2025-06-11 14:33:00,374,/spectrograms/V070.png,Sed
V071,71,2025-06-11 14:33:30,402,/spectrograms/V071.png,Alegría
V072,72,2025-06-11 14:34:00,491,/spectrograms/V072.png,Hambre
V073,73,2025-06-11 14:34:30,551,/spectrograms/V073.png,Hambre
V074,74,2025-06-11 14:35:00,525,/spectrograms/V074.png,Necesita afecto
V075,75,2025-06-11 14:35:30,593,/spectrograms/V075.png,Dolor
V076,76,2025-06-11 14:36:00,397,/spectrograms/V076.png,Necesita afecto
V077,77,2025-06-11 14:36:30,585,/spectrograms/V077.png,Necesita afecto
V078,78,2025-06-11 14:37:00,548,/spectrograms/V078.png,Jugar
V079,79,2025-06-11 14:37:30,465,/spectrograms/V079.png,Alegría
V080,80,2025-06-11 14:38:00,329,/spectrograms/V080.png,Dolor
V081,81,2025-06-11 14:38:30,546,/spectrograms/V081.png,Sed
V082,82,2025-06-11 14:39:00,405,/spectrograms/V082.png,Sed
V083,83,2025-06-11 14:39:30,350,/spectrograms/V083.png,Hambre
V084,84,2025-06-11 14:40:00,380,/spectrograms/V084.png,Hambre
V085,85,2025-06-11 14:40:30,432,/spectrograms/V085.png,Sed
V086,86,2025-06-11 14:41:00,584,/spectrograms/V086.png,Hambre
V087,87,2025-06-11 14:41:30,437,/spectrograms/V087.png,Alegría
V088,88,2025-06-11 14:42:00,483,/spectrograms/V088.png,Necesita afecto
V089,89,2025-06-11 14:42:30,572,/spectrograms/V089.png,Hambre
V090,90,2025-06-11 14:43:00,368,/spectrograms/V090.png,Jugar
V091,91,2025-06-11 14:43:30,333,/spectrograms/V091.png,Hambre
V092,92,2025-06-11 14:44:00,561,/spectrograms/V092.png,Dolor
V093,93,2025-06-11 14:44:30,352,/spectrograms/V093.png,Alegría
V094,94,2025-06-11 14:45:00,504,/spectrograms/V094.png,Dolor
V095,95,2025-06-11 14:45:30,425,/spectrograms/V095.png,Dolor
V096,96,2025-06-11 14:46:00,534,/spectrograms/V096.png,Jugar
V097,97,2025-06-11 14:46:30,342,/spectrograms/V097.png,Alegría
V098,98,2025-06-11 14:47:00,539,/spectrograms/V098.png,Alegría
V099,99,2025-06-11 14:47:30,410,/spectrograms/V099.png,Alegría
V100,100,2025-06-11 14:48:00,548,/spectrograms/V100.png,Alegría
V101,101,2025-06-11 14:48:30,450,/spectrograms/V101.png,Alegría
V102,102,2025-06-11 14:49:00,482,/spectrograms/V102.png,Jugar
V103,103,2025-06-11 14:49:30,394,/spectrograms/V103.png,Hambre
V104,104,2025-06-11 14:50:00,307,/spectrograms/V104.png,Dolor
V105,105,2025-06-11 14:50:30,483,/spectrograms/V105.png,Alegría
V106,106,2025-06-11 14:51:00,580,/spectrograms/V106.png,Hambre
V107,107,2025-06-11 14:51:30,494,/spectrograms/V107.png,Hambre
V108,108,2025-06-11 14:52:00,494,/spectrograms/V108.png,Dolor
V109,109,2025-06-11 14:52:30,454,/spectrograms/V109.png,Jugar
V110,110,2025-06-11 14:53:00,392,/spectrograms/V110.png,Sed
V111,111,2025-06-11 14:53:30,459,/spectrograms/V111.png,Sed
V112,112,2025-06-11 14:54:00,360,/spectrograms/V112.png,Hambre
V113,113,2025-06-11 14:54:30,421,/spectrograms/V113.png,Necesita afecto
V114,114,2025-06-11 14:55:00,350,/spectrograms/V114.png,Necesita afecto
V115,115,2025-06-11 14:55:30,576,/spectrograms/V115.png,Dolor
V116,116,2025-06-11 14:56:00,304,/spectrograms/V116.png,Sed
V117,117,2025-06-11 14:56:30,391,/spectrograms/V117.png,Hambre
V118,118,2025-06-11 14:57:00,469,/spectrograms/V118.png,Jugar
V119,119,2025-06-11 14:57:30,321,/spectrograms/V119.png,Sed
V120,120,2025-06-11 14:58:00,300,/spectrograms/V120.png,Hambre
V121,121,2025-06-11 14:58:30,432,/spectrograms/V121.png,Hambre
V122,122,2025-06-11 14:59:00,532,/spectrograms/V122.png,Alegría
V123,123,2025-06-11 14:59:30,311,/spectrograms/V123.png,Jugar
V124,124,2025-06-11 15:00:00,345,/spectrograms/V124.png,Alegría
V125,125,2025-06-11 15:00:30,333,/spectrograms/V125.png,Dolor
V126,126,2025-06-11 15:01:00,377,/spectrograms/V126.png,Alegría
V127,127,2025-06-11 15:01:30,517,/spectrograms/V127.png,Alegría
V128,128,2025-06-11 15:02:00,600,/spectrograms/V128.png,Sed
V129,129,2025-06-11 15:02:30,372,/spectrograms/V129.png,Necesita afecto
V130,130,2025-06-11 15:03:00,581,/spectrograms/V130.png,Hambre
V131,131,2025-06-11 15:03:30,548,/spectrograms/V131.png,Jugar
V132,132,2025-06-11 15:04:00,346,/spectrograms/V132.png,Alegría
V133,133,2025-06-11 15:04:30,420,/spectrograms/V133.png,Jugar
V134,134,2025-06-11 15:05:00,513,/spectrograms/V134.png,Necesita afecto
V135,135,2025-06-11 15:05:30,538,/spectrograms/V135.png,Necesita afecto
V136,136,2025-06-11 15:06:00,355,/spectrograms/V136.png,Alegría
V137,137,2025-06-11 15:06:30,406,/spectrograms/V137.png,Dolor
V138,138,2025-06-11 15:07:00,347,/spectrograms/V138.png,Alegría
V139,139,2025-06-11 15:07:30,360,/spectrograms/V139.png,Sed
V140,140,2025-06-11 15:08:00,325,/spectrograms/V140.png,Hambre
V141,141,2025-06-11 15:08:30,591,/spectrograms/V141.png,Dolor
V142,142,2025-06-11 15:09:00,556,/spectrograms/V142.png,Alegría
V143,143,2025-06-11 15:09:30,307,/spectrograms/V143.png,Jugar
V144,144,2025-06-11 15:10:00,412,/spectrograms/V144.png,Dolor
V145,145,2025-06-11 15:10:30,552,/spectrograms/V145.png,Dolor
V146,146,2025-06-11 15:11:00,479,/spectrograms/V146.png,Alegría
V147,147,2025-06-11 15:11:30,506,/spectrograms/V147.png,Dolor
V148,148,2025-06-11 15:12:00,426,/spectrograms/V148.png,Jugar
V149,149,2025-06-11 15:12:30,355,/spectrograms/V149.png,Necesita afecto
V150,150,2025-06-11 15:13:00,513,/spectrograms/V150.png,Dolor
V151,151,2025-06-11 15:13:30,313,/spectrograms/V151.png,Necesita afecto
V152,152,2025-06-11 15:14:00,327,/spectrograms/V152.png,Jugar
V153,153,2025-06-11 15:14:30,377,/spectrograms/V153.png,Alegría
V154,154,2025-06-11 15:15:00,515,/spectrograms/V154.png,Hambre
V155,155,2025-06-11 15:15:30,453,/spectrograms/V155.png,Dolor
V156,156,2025-06-11 15:16:00,313,/spectrograms/V156.png,Hambre
V157,157,2025-06-11 15:16:30,486,/spectrograms/V157.png,Jugar
V158,158,2025-06-11 15:17:00,306,/spectrograms/V158.png,Dolor
V159,159,2025-06-11 15:17:30,302,/spectrograms/V159.png,Necesita afecto
V160,160,2025-06-11 15:18:00,410,/spectrograms/V160.png,Sed
V161,161,2025-06-11 15:18:30,537,/spectrograms/V161.png,Hambre
V162,162,2025-06-11 15:19:00,538,/spectrograms/V162.png,Dolor
V163,163,2025-06-11 15:19:30,573,/spectrograms/V163.png,Hambre
V164,164,2025-06-11 15:20:00,593,/spectrograms/V164.png,Dolor
V165,165,2025-06-11 15:20:30,526,/spectrograms/V165.png,Alegría
V166,166,2025-06-11 15:21:00,314,/spectrograms/V166.png,Necesita afecto
V167,167,2025-06-11 15:21:30,491,/spectrograms/V167.png,Hambre
V168,168,2025-06-11 15:22:00,418,/spectrograms/V168.png,Sed
V169,169,2025-06-11 15:22:30,327,/spectrograms/V169.png,Sed
V170,170,2025-06-11 15:23:00,501,/spectrograms/V170.png,Jugar
V171,171,2025-06-11 15:23:30,338,/spectrograms/V171.png,Dolor
V172,172,2025-06-11 15:24:00,572,/spectrograms/V172.png,Hambre
V173,173,2025-06-11 15:24:30,530,/spectrograms/V173.png,Jugar
V174,174,2025-06-11 15:25:00,385,/spectrograms/V174.png,Hambre
V175,175,2025-06-11 15:25:30,425,/spectrograms/V175.png,Dolor
V176,176,2025-06-11 15:26:00,599,/spectrograms/V176.png,Sed
V177,177,2025-06-11 15:26:30,324,/spectrograms/V177.png,Alegría
V178,178,2025-06-11 15:27:00,444,/spectrograms/V178.png,Sed
V179,179,2025-06-11 15:27:30,312,/spectrograms/V179.png,Jugar
V180,180,2025-06-11 15:28:00,511,/spectrograms/V180.png,Necesita afecto
V181,181,2025-06-11 15:28:30,324,/spectrograms/V181.png,Alegría
V182,182,2025-06-11 15:29:00,367,/spectrograms/V182.png,Jugar
V183,183,2025-06-11 15:29:30,366,/spectrograms/V183.png,Dolor
V184,184,2025-06-11 15:30:00,532,/spectrograms/V184.png,Alegría
V185,185,2025-06-11 15:30:30,408,/spectrograms/V185.png,Jugar
V186,186,2025-06-11 15:31:00,445,/spectrograms/V186.png,Dolor
V187,187,2025-06-11 15:31:30,410,/spectrograms/V187.png,Sed
V188,188,2025-06-11 15:32:00,527,/spectrograms/V188.png,Necesita afecto
V189,189,2025-06-11 15:32:30,410,/spectrograms/V189.png,Dolor
V190,190,2025-06-11 15:33:00,333,/spectrograms/V190.png,Hambre
V191,191,2025-06-11 15:33:30,410,/spectrograms/V191.png,Dolor
V192,192,2025-06-11 15:34:00,563,/spectrograms/V192.png,Dolor
V193,193,2025-06-11 15:34:30,535,/spectrograms/V193.png,Necesita afecto
V194,194,2025-06-11 15:35:00,382,/spectrograms/V194.png,Hambre
V195,195,2025-06-11 15:35:30,341,/spectrograms/V195.png,Jugar
V196,196,2025-06-11 15:36:00,400,/spectrograms/V196.png,Jugar
V197,197,2025-06-11 15:36:30,305,/spectrograms/V197.png,Dolor
V198,198,2025-06-11 15:37:00,479,/spectrograms/V198.png,Hambre
V199,199,2025-06-11 15:37:30,581,/spectrograms/V199.png,Hambre
V200,200,2025-06-11 15:38:00,525,/spectrograms/V200.png,Necesita afecto
V201,201,2025-06-11 15:38:30,528,/spectrograms/V201.png,Sed
V202,202,2025-06-11 15:39:00,588,/spectrograms/V202.png,Jugar
V203,203,2025-06-11 15:39:30,449,/spectrograms/V203.png,Necesita afecto
V204,204,2025-06-11 15:40:00,576,/spectrograms/V204.png,Alegría
V205,205,2025-06-11 15:40:30,497,/spectrograms/V205.png,Jugar
V206,206,2025-06-11 15:41:00,369,/spectrograms/V206.png,Necesita afecto
V207,207,2025-06-11 15:41:30,411,/spectrograms/V207.png,Jugar
V208,208,2025-06-11 15:42:00,303,/spectrograms/V208.png,Sed
V209,209,2025-06-11 15:42:30,394,/spectrograms/V209.png,Alegría
V210,210,2025-06-11 15:43:00,451,/spectrograms/V210.png,Sed
V211,211,2025-06-11 15:43:30,436,/spectrograms/V211.png,Alegría
V212,212,2025-06-11 15:44:00,546,/spectrograms/V212.png,Dolor
V213,213,2025-06-11 15:44:30,542,/spectrograms/V213.png,Necesita afecto
V214,214,2025-06-11 15:45:00,330,/spectrograms/V214.png,Alegría
V215,215,2025-06-11 15:45:30,339,/spectrograms/V215.png,Sed
V216,216,2025-06-11 15:46:00,528,/spectrograms/V216.png,Jugar
V217,217,2025-06-11 15:46:30,335,/spectrograms/V217.png,Alegría
V218,218,2025-06-11 15:47:00,522,/spectrograms/V218.png,Necesita afecto
V219,219,2025-06-11 15:47:30,305,/spectrograms/V219.png,Alegría
V220,220,2025-06-11 15:48:00,519,/spectrograms/V220.png,Hambre
V221,221,2025-06-11 15:48:30,374,/spectrograms/V221.png,Jugar
V222,222,2025-06-11 15:49:00,303,/spectrograms/V222.png,Necesita afecto
V223,223,2025-06-11 15:49:30,433,/spectrograms/V223.png,Necesita afecto
V224,224,2025-06-11 15:50:00,417,/spectrograms/V224.png,Dolor
V225,225,2025-06-11 15:50:30,393,/spectrograms/V225.png,Sed
V226,226,2025-06-11 15:51:00,361,/spectrograms/V226.png,Dolor
V227,227,2025-06-11 15:51:30,493,/spectrograms/V227.png,Necesita afecto
V228,228,2025-06-11 15:52:00,502,/spectrograms/V228.png,Jugar
V229,229,2025-06-11 15:52:30,325,/spectrograms/V229.png,Alegría
V230,230,2025-06-11 15:53:00,472,/spectrograms/V230.png,Alegría
V231,231,2025-06-11 15:53:30,599,/spectrograms/V231.png,Jugar
V232,232,2025-06-11 15:54:00,432,/spectrograms/V232.png,Necesita afecto
V233,233,2025-06-11 15:54:30,417,/spectrograms/V233.png,Alegría
V234,234,2025-06-11 15:55:00,574,/spectrograms/V234.png,Alegría
V235,235,2025-06-11 15:55:30,511,/spectrograms/V235.png,Alegría
V236,236,2025-06-11 15:56:00,524,/spectrograms/V236.png,Sed
V237,237,2025-06-11 15:56:30,319,/spectrograms/V237.png,Sed
V238,238,2025-06-11 15:57:00,412,/spectrograms/V238.png,Hambre
V239,239,2025-06-11 15:57:30,439,/spectrograms/V239.png,Dolor
V240,240,2025-06-11 15:58:00,346,/spectrograms/V240.png,Jugar
V241,241,2025-06-11 15:58:30,300,/spectrograms/V241.png,Jugar
V242,242,2025-06-11 15:59:00,389,/spectrograms/V242.png,Jugar
V243,243,2025-06-11 15:59:30,441,/spectrograms/V243.png,Hambre
V244,244,2025-06-11 16:00:00,337,/spectrograms/V244.png,Sed
V245,245,2025-06-11 16:00:30,592,/spectrograms/V245.png,Necesita afecto
V246,246,2025-06-11 16:01:00,438,/spectrograms/V246.png,Necesita afecto
V247,247,2025-06-11 16:01:30,558,/spectrograms/V247.png,Hambre
V248,248,2025-06-11 16:02:00,460,/spectrograms/V248.png,Necesita afecto
V249,249,2025-06-11 16:02:30,477,/spectrograms/V249.png,Jugar
V250,250,2025-06-11 16:03:00,309,/spectrograms/V250.png,Dolor
V251,251,2025-06-11 16:03:30,560,/spectrograms/V251.png,Alegría
V252,252,2025-06-11 16:04:00,437,/spectrograms/V252.png,Sed
V253,253,2025-06-11 16:04:30,471,/spectrograms/V253.png,Sed
V254,254,2025-06-11 16:05:00,312,/spectrograms/V254.png,Hambre
V255,255,2025-06-11 16:05:30,467,/spectrograms/V255.png,Sed
V256,256,2025-06-11 16:06:00,429,/spectrograms/V256.png,Jugar
V257,257,2025-06-11 16:06:30,383,/spectrograms/V257.png,Necesita afecto
V258,258,2025-06-11 16:07:00,400,/spectrograms/V258.png,Jugar
V259,259,2025-06-11 16:07:30,572,/spectrograms/V259.png,Hambre
V260,260,2025-06-11 16:08:00,564,/spectrograms/V260.png,Jugar
V261,261,2025-06-11 16:08:30,337,/spectrograms/V261.png,Necesita afecto
V262,262,2025-06-11 16:09:00,393,/spectrograms/V262.png,Dolor
V263,263,2025-06-11 16:09:30,394,/spectrograms/V263.png,Hambre
V264,264,2025-06-11 16:10:00,368,/spectrograms/V264.png,Dolor
V265,265,2025-06-11 16:10:30,535,/spectrograms/V265.png,Alegría
V266,266,2025-06-11 16:11:00,436,/spectrograms/V266.png,Dolor
V267,267,2025-06-11 16:11:30,375,/spectrograms/V267.png,Alegría
V268,268,2025-06-11 16:12:00,334,/spectrograms/V268.png,Alegría
V269,269,2025-06-11 16:12:30,300,/spectrograms/V269.png,Dolor
V270,270,2025-06-11 16:13:00,595,/spectrograms/V270.png,Hambre
V271,271,2025-06-11 16:13:30,359,/spectrograms/V271.png,Necesita afecto
V272,272,2025-06-11 16:14:00,566,/spectrograms/V272.png,Jugar
V273,273,2025-06-11 16:14:30,528,/spectrograms/V273.png,Jugar
V274,274,2025-06-11 16:15:00,569,/spectrograms/V274.png,Necesita afecto
V275,275,2025-06-11 16:15:30,585,/spectrograms/V275.png,Alegría
V276,276,2025-06-11 16:16:00,590,/spectrograms/V276.png,Alegría
V277,277,2025-06-11 16:16:30,512,/spectrograms/V277.png,Hambre
V278,278,2025-06-11 16:17:00,464,/spectrograms/V278.png,Sed
V279,279,2025-06-11 16:17:30,304,/spectrograms/V279.png,Dolor
V280,280,2025-06-11 16:18:00,377,/spectrograms/V280.png,Alegría
V281,281,2025-06-11 16:18:30,361,/spectrograms/V281.png,Jugar
V282,282,2025-06-11 16:19:00,431,/spectrograms/V282.png,Hambre
V283,283,2025-06-11 16:19:30,388,/spectrograms/V283.png,Dolor
V284,284,2025-06-11 16:20:00,536,/spectrograms/V284.png,Hambre
V285,285,2025-06-11 16:20:30,341,/spectrograms/V285.png,Dolor
V286,286,2025-06-11 16:21:00,388,/spectrograms/V286.png,Dolor
V287,287,2025-06-11 16:21:30,595,/spectrograms/V287.png,Necesita afecto
V288,288,2025-06-11 16:22:00,594,/spectrograms/V288.png,Alegría
V289,289,2025-06-11 16:22:30,403,/spectrograms/V289.png,Hambre
V290,290,2025-06-11 16:23:00,313,/spectrograms/V290.png,Hambre
V291,291,2025-06-11 16:23:30,587,/spectrograms/V291.png,Necesita afecto
V292,292,2025-06-11 16:24:00,478,/spectrograms/V292.png,Jugar
V293,293,2025-06-11 16:24:30,424,/spectrograms/V293.png,Jugar
V294,294,2025-06-11 16:25:00,322,/spectrograms/V294.png,Alegría
V295,295,2025-06-11 16:25:30,362,/spectrograms/V295.png,Alegría
V296,296,2025-06-11 16:26:00,442,/spectrograms/V296.png,Sed
V297,297,2025-06-11 16:26:30,452,/spectrograms/V297.png,Necesita afecto
V298,298,2025-06-11 16:27:00,444,/spectrograms/V298.png,Jugar
V299,299,2025-06-11 16:27:30,524,/spectrograms/V299.png,Dolor
V300,300,2025-06-11 16:28:00,403,/spectrograms/V300.png,Hambre
V301,301,2025-06-11 16:28:30,403,/spectrograms/V301.png,Alegría
V302,302,2025-06-11 16:29:00,338,/spectrograms/V302.png,Hambre
V303,303,2025-06-11 16:29:30,497,/spectrograms/V303.png,Hambre
V304,304,2025-06-11 16:30:00,433,/spectrograms/V304.png,Sed
V305,305,2025-06-11 16:30:30,366,/spectrograms/V305.png,Jugar
V306,306,2025-06-11 16:31:00,478,/spectrograms/V306.png,Alegría
V307,307,2025-06-11 16:31:30,341,/spectrograms/V307.png,Hambre
V308,308,2025-06-11 16:32:00,314,/spectrograms/V308.png,Alegría
V309,309,2025-06-11 16:32:30,410,/spectrograms/V309.png,Dolor
V310,310,2025-06-11 16:33:00,456,/spectrograms/V310.png,Sed
V311,311,2025-06-11 16:33:30,588,/spectrograms/V311.png,Dolor
V312,312,2025-06-11 16:34:00,530,/spectrograms/V312.png,Alegría
V313,313,2025-06-11 16:34:30,456,/spectrograms/V313.png,Alegría
V314,314,2025-06-11 16:35:00,337,/spectrograms/V314.png,Jugar
V315,315,2025-06-11 16:35:30,396,/spectrograms/V315.png,Hambre
V316,316,2025-06-11 16:36:00,588,/spectrograms/V316.png,Hambre
V317,317,2025-06-11 16:36:30,553,/spectrograms/V317.png,Dolor
V318,318,2025-06-11 16:37:00,495,/spectrograms/V318.png,Sed
V319,319,2025-06-11 16:37:30,385,/spectrograms/V319.png,Necesita afecto
V320,320,2025-06-11 16:38:00,309,/spectrograms/V320.png,Hambre
V321,321,2025-06-11 16:38:30,304,/spectrograms/V321.png,Jugar
V322,322,2025-06-11 16:39:00,422,/spectrograms/V322.png,Dolor
V323,323,2025-06-11 16:39:30,417,/spectrograms/V323.png,Dolor
V324,324,2025-06-11 16:40:00,593,/spectrograms/V324.png,Necesita afecto
V325,325,2025-06-11 16:40:30,458,/spectrograms/V325.png,Jugar
V326,326,2025-06-11 16:41:00,527,/spectrograms/V326.png,Sed
V327,327,2025-06-11 16:41:30,515,/spectrograms/V327.png,Jugar
V328,328,2025-06-11 16:42:00,483,/spectrograms/V328.png,Sed
V329,329,2025-06-11 16:42:30,314,/spectrograms/V329.png,Jugar
V330,330,2025-06-11 16:43:00,456,/spectrograms/V330.png,Jugar
V331,331,2025-06-11 16:43:30,435,/spectrograms/V331.png,Alegría
V332,332,2025-06-11 16:44:00,560,/spectrograms/V332.png,Dolor
V333,333,2025-06-11 16:44:30,456,/spectrograms/V333.png,Jugar
V334,334,2025-06-11 16:45:00,346,/spectrograms/V334.png,Necesita afecto
V335,335,2025-06-11 16:45:30,472,/spectrograms/V335.png,Jugar
V336,336,2025-06-11 16:46:00,429,/spectrograms/V336.png,Hambre
V337,337,2025-06-11 16:46:30,394,/spectrograms/V337.png,Dolor
V338,338,2025-06-11 16:47:00,414,/spectrograms/V338.png,Hambre
V339,339,2025-06-11 16:47:30,542,/spectrograms/V339.png,Dolor
V340,340,2025-06-11 16:48:00,591,/spectrograms/V340.png,Hambre
V341,341,2025-06-11 16:48:30,581,/spectrograms/V341.png,Jugar
V342,342,2025-06-11 16:49:00,598,/spectrograms/V342.png,Jugar
V343,343,2025-06-11 16:49:30,582,/spectrograms/V343.png,Alegría
V344,344,2025-06-11 16:50:00,368,/spectrograms/V344.png,Necesita afecto
V345,345,2025-06-11 16:50:30,447,/spectrograms/V345.png,Hambre
V346,346,2025-06-11 16:51:00,310,/spectrograms/V346.png,Sed
V347,347,2025-06-11 16:51:30,553,/spectrograms/V347.png,Alegría
V348,348,2025-06-11 16:52:00,337,/spectrograms/V348.png,Hambre
V349,349,2025-06-11 16:52:30,433,/spectrograms/V349.png,Hambre
V350,350,2025-06-11 16:53:00,499,/spectrograms/V350.png,Alegría
V351,351,2025-06-11 16:53:30,322,/spectrograms/V351.png,Jugar
V352,352,2025-06-11 16:54:00,517,/spectrograms/V352.png,Hambre
V353,353,2025-06-11 16:54:30,440,/spectrograms/V353.png,Jugar
V354,354,2025-06-11 16:55:00,403,/spectrograms/V354.png,Alegría
V355,355,2025-06-11 16:55:30,509,/spectrograms/V355.png,Jugar
V356,356,2025-06-11 16:56:00,410,/spectrograms/V356.png,Dolor
V357,357,2025-06-11 16:56:30,403,/spectrograms/V357.png,Sed
V358,358,2025-06-11 16:57:00,470,/spectrograms/V358.png,Hambre
V359,359,2025-06-11 16:57:30,432,/spectrograms/V359.png,Necesita afecto
V360,360,2025-06-11 16:58:00,592,/spectrograms/V360.png,Sed
V361,361,2025-06-11 16:58:30,426,/spectrograms/V361.png,Jugar
V362,362,2025-06-11 16:59:00,405,/spectrograms/V362.png,Hambre
V363,363,2025-06-11 16:59:30,391,/spectrograms/V363.png,Jugar
V364,364,2025-06-11 17:00:00,586,/spectrograms/V364.png,Dolor
V365,365,2025-06-11 17:00:30,350,/spectrograms/V365.png,Alegría
V366,366,2025-06-11 17:01:00,328,/spectrograms/V366.png,Hambre
V367,367,2025-06-11 17:01:30,595,/spectrograms/V367.png,Dolor
V368,368,2025-06-11 17:02:00,596,/spectrograms/V368.png,Dolor
V369,369,2025-06-11 17:02:30,513,/spectrograms/V369.png,Hambre
V370,370,2025-06-11 17:03:00,566,/spectrograms/V370.png,Jugar
V371,371,2025-06-11 17:03:30,556,/spectrograms/V371.png,Necesita afecto
V372,372,2025-06-11 17:04:00,400,/spectrograms/V372.png,Dolor
